,nombre_app,puntaje,bigramas_actividades,conteo
133,Ask AI - Chatbot con GPT,1,inventaba cosas decía cosas inventando cosas inventando cosas,1
134,Ask AI - Chatbot con GPT,1,Vaya asco,1
135,Ask AI - Chatbot con GPT,2,contiene escenas tenga limites tener restricciones,1
136,Ask AI - Chatbot con GPT,2,escribir ensayos comete errores,1
137,Ask AI - Chatbot con GPT,2,dio respuesta,1
138,Ask AI - Chatbot con GPT,2,da información,1
139,Ask AI - Chatbot con GPT,2,pedí información,1
140,Ask AI - Chatbot con GPT,2,tuviera limites,1
141,Ask AI - Chatbot con GPT,2,viendo plublicidad,1
142,Ask AI - Chatbot con GPT,2,tiene límite,1
143,Ask AI - Chatbot con GPT,2,encontremos cosas,1
144,Ask AI - Chatbot con GPT,2,divulgar información,1
145,Ask AI - Chatbot con GPT,2,tenemos dinero,1
146,Ask AI - Chatbot con GPT,2,hago preguntas,1
147,Ask AI - Chatbot con GPT,2,dejar almenos,1
148,Ask AI - Chatbot con GPT,2,tienes razón,1
149,Ask AI - Chatbot con GPT,2,hablar Aún,1
150,Ask AI - Chatbot con GPT,2,tiene extras,1
151,Ask AI - Chatbot con GPT,2,escribí peticiones teniendo experiencia dando información,1
152,Ask AI - Chatbot con GPT,2,incorporar publicidad,1
153,Ask AI - Chatbot con GPT,2,pagar q,1
154,Ask AI - Chatbot con GPT,3,hace meh,1
155,Ask AI - Chatbot con GPT,3,hacer preguntas,1
156,Ask AI - Chatbot con GPT,3,pagar despues,1
157,Ask AI - Chatbot con GPT,3,tenemos dinero,1
158,Ask AI - Chatbot con GPT,3,hacer consulta,1
159,Ask AI - Chatbot con GPT,3,salió campeona,1
160,Ask AI - Chatbot con GPT,3,usar preguntas,1
161,Ask AI - Chatbot con GPT,3,arrojaron respuestas,1
162,Ask AI - Chatbot con GPT,3,decir chistes,1
163,Ask AI - Chatbot con GPT,3,quieras poque,1
164,Ask AI - Chatbot con GPT,3,tiene conocimiento tienes informacion,1
165,Ask AI - Chatbot con GPT,3,funciona super,1
166,Ask AI - Chatbot con GPT,3,pagar cuotas,1
167,Ask AI - Chatbot con GPT,3,decía error,1
168,Ask AI - Chatbot con GPT,3,obtener estadisticas,1
169,Ask AI - Chatbot con GPT,3,agregar accesibilidad,1
170,Ask AI - Chatbot con GPT,3,poner límite,1
171,Ask AI - Chatbot con GPT,3,compartir texto,1
172,Ask AI - Chatbot con GPT,3,requieren cálculos presenta errores garantizar resultados involucren cálculos,1
173,Ask AI - Chatbot con GPT,3,quiere mensajes,1
174,Ask AI - Chatbot con GPT,3,aprender información tener diálogos,1
175,Ask AI - Chatbot con GPT,3,leer manustritos,1
176,Ask AI - Chatbot con GPT,3,dar respuestas,1
177,Ask AI - Chatbot con GPT,3,juntar dinero,1
178,Ask AI - Chatbot con GPT,3,tener chat,1
179,Ask AI - Chatbot con GPT,3,supiera curiosidades,1
180,Ask AI - Chatbot con GPT,3,tener acceso responder preguntas diga cosas,1
181,Ask AI - Chatbot con GPT,3,da ideas pierde objetividad indican gobiernos,1
182,Ask AI - Chatbot con GPT,3,da respuestas,1
183,Ask AI - Chatbot con GPT,4,da información,3
184,Ask AI - Chatbot con GPT,4,Buena app,2
185,Ask AI - Chatbot con GPT,4,gustando cambio,1
186,Ask AI - Chatbot con GPT,4,tener costo,1
187,Ask AI - Chatbot con GPT,4,recoger información,1
188,Ask AI - Chatbot con GPT,4,aparecen imagenes,1
189,Ask AI - Chatbot con GPT,4,pagando servicio,1
190,Ask AI - Chatbot con GPT,4,falta cámara,1
191,Ask AI - Chatbot con GPT,4,crear imagenes,1
192,Ask AI - Chatbot con GPT,4,ganar dinero,1
193,Ask AI - Chatbot con GPT,4,ejecutar acciones,1
194,Ask AI - Chatbot con GPT,4,vuelva premium,1
195,Ask AI - Chatbot con GPT,4,organizar ideas,1
196,Ask AI - Chatbot con GPT,4,enviar invitación da chance,1
197,Ask AI - Chatbot con GPT,4,poner ilustraciones,1
198,Ask AI - Chatbot con GPT,4,parece super,1
199,Ask AI - Chatbot con GPT,4,encanta ahorro,1
200,Ask AI - Chatbot con GPT,4,Da consejos,1
201,Ask AI - Chatbot con GPT,4,tengo acceso,1
202,Ask AI - Chatbot con GPT,4,tuvieran preguntas,1
203,Ask AI - Chatbot con GPT,4,tiene costo,1
204,Ask AI - Chatbot con GPT,4,dice error,1
205,Ask AI - Chatbot con GPT,4,metiendo funciones,1
206,Ask AI - Chatbot con GPT,4,responder preguntas generar texto brindar respuestas hacerlo gracias,1
207,Ask AI - Chatbot con GPT,4,falta imagenes ver tendria tiene videos,1
208,Ask AI - Chatbot con GPT,4,recordar conversaciones,1
209,Ask AI - Chatbot con GPT,4,dado problemas,1
210,Ask AI - Chatbot con GPT,4,hacer tareas,1
211,Ask AI - Chatbot con GPT,4,resolver dudas,1
212,Ask AI - Chatbot con GPT,5,hacer tareas,22
213,Ask AI - Chatbot con GPT,5,da respuestas,12
214,Ask AI - Chatbot con GPT,5,buscar información,6
215,Ask AI - Chatbot con GPT,5,hacer trabajos,4
